Viewing ID,Viewer ID,Pulse Permissions,Role,User Email,Start time,Start date,Sign up status,Finish time,Finish date,Geolocation,Accepted terms,Consent analytics,Completion percentage,Position,Language,Viewing path,Offline,Distribution,Points,"In a typical week, how physically active are you? (range)",Which types of sport do you take part in most often? (pickMany),What do you enjoy most about sport? (pickOne),Playing sport or being active helps me… - connect with people different from me (matrix),Playing sport or being active helps me… - feel more confident in myself (matrix),Playing sport or being active helps me… - feel like I belong (matrix),Playing sport or being active helps me… - deal with challenges in life (matrix),Playing sport or being active helps me… - stay calm when things get hard (matrix),Playing sport or being active helps me… - care more about the planet (matrix),Playing sport or being active helps me… - feel connected to nature (matrix),Playing sport or being active helps me… - believe I can make a difference (matrix),Does sport influence how hopeful you feel about your life? (range),How important is sport to supporting your mental well-being? (rating),Which skills are you developing through sport? (decision - No),Which skills are you developing through sport? (decision - ),Which skills are you developing through sport? (decision - Yes),"When things go wrong in your life, how confident are you that you can bounce back? (netPromoter)",How easy is it for you to access sport where you live? (range),What makes it difficult for you to take part in sport regularly? (pickOne),Adults involved in sport... (decision - No),Adults involved in sport... (decision - ),Adults involved in sport... (decision - Yes),Do events like the World Cup make you feel more connected to your local community? (pickOne),What would help more young people take part in sport where you live? (pickMany),Do you feel your voice is heard when decisions are made about sport in your community? (range),When were you born? (age),What country do you live in? (location),What gender do you identify as? (gender),"In a typical week, how physically active are you? dwell time",Which types of sport do you take part in most often? dwell time,What do you enjoy most about sport? dwell time,Playing sport or being active helps me… dwell time,Does sport influence how hopeful you feel about your life? dwell time,How important is sport to supporting your mental well-being? dwell time,Which skills are you developing through sport? dwell time,"When things go wrong in your life, how confident are you that you can bounce back? dwell time",How easy is it for you to access sport where you live? dwell time,What makes it difficult for you to take part in sport regularly? dwell time,Adults involved in sport... dwell time,Do events like the World Cup make you feel more connected to your local community? dwell time,What would help more young people take part in sport where you live? dwell time,Do you feel your voice is heard when decisions are made about sport in your community? dwell time,When were you born? dwell time,What country do you live in? dwell time,What gender do you identify as? dwell time,Transcriptions,Device type,Browser
QNuK2-xVirY,QNuK2-BoCIE,false,Anonymous,Guest,02:11:43 PM,22/06/2026,false,02:11:43 PM,22/06/2026,"",true,true,21.05,4/19,en,"[1, 2, 3, 4]",false,"",3,2+ hours a week,Community sport club,Having fun,"","","","","","","","","","",[],[],[],"","","",[],[],[],"","","","","","",9,241,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",Desktop,Chrome 148.0
QNvPkIwmkk0,QNvPkHpKkrE,false,Anonymous,Guest,03:42:04 PM,22/06/2026,false,03:42:04 PM,22/06/2026,"",true,false,"","",en,"",false,"",14,2+ hours a week,Gym or exercise,Feeling healthy or strong,2,5,4,3,3,1,1,3,Sometimes,Quite important,"[""Speaking up""]",[],"[""Confidence ||| Teamwork ||| Handling stress ||| Social Connections ||| Leadership ||| Focus ||| Problem-solving""]",Confident,Very easy,"",[],[],"[""help create safe environments ||| help me feel more confident ||| make me feel comfortable asking them for help ||| positively influence my experience ||| make me feel included""]",A little,Better places to play ||| Free or low-cost activities ||| Fun social activities,Rarely,1995-11-01,United Kingdom,Male,4,6,8,41,11,7,18,11,11,0,30,12,29,6,0,0,0,"",Desktop,Chrome 149.0
QNv2mp6i1eI,QNv2mpO8u5w,false,Anonymous,Guest,04:06:39 PM,22/06/2026,false,04:06:39 PM,22/06/2026,"",true,true,10.53,2/19,en,"[1, 2]",false,"",1,2+ hours a week,"","","","","","","","","","","","",[],[],[],"","","",[],[],[],"","","","","","",19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",Desktop,Edge 149.0
QNvvCClcXHA,QNvvCCKuKAQ,false,Anonymous,Guest,04:30:55 PM,22/06/2026,false,04:30:55 PM,22/06/2026,"",true,true,78.95,15/19,en,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15]",false,"",13,About 1–2 hours a week,Dance or movement ||| Gym or exercise,Competing,5,5,5,4,5,3,3,3,Sometimes,Very important,[],[],"[""Social Connections ||| Confidence ||| Leadership ||| Focus ||| Problem-solving ||| Speaking up ||| Teamwork ||| Handling stress""]",Confident,Quite easy,"","[""make me feel included ||| help me feel more confident ||| make me feel comfortable asking them for help""]",[],"[""positively influence my experience ||| help create safe environments""]",Not really,Feeling welcome ||| Fun social activities ||| More choice in activities,Rarely,"","","",8,13,16,40,10,11,18,13,8,0,16,8,30,6,0,0,0,"",Desktop,Chrome 149.0
QNwyJL9Cyb8,QNwyJLZtP78,false,Anonymous,Guest,05:21:32 PM,22/06/2026,false,05:21:35 PM,22/06/2026,"",true,true,100.00,19/19,en,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19]",false,"",14,2+ hours a week,Dance or movement ||| Physical education (PE) or school sport ||| Community sport club ||| Informal play with friends,Relaxing or reducing stress,5,5,5,5,5,5,5,5,"Yes, a lot",Very important,[],[],"[""Teamwork ||| Confidence ||| Leadership ||| Focus ||| Problem-solving ||| Speaking up ||| Handling stress ||| Social Connections""]",Very confident,Very easy,"",[],[],"[""help create safe environments ||| positively influence my experience ||| make me feel comfortable asking them for help ||| make me feel included ||| help me feel more confident""]","Yes, a lot",Free or low-cost activities ||| Feeling welcome ||| Supportive coaches,Always,1987-12-01,Nigeria,Male,27,48,47,107,42,36,37,20,13,0,12,35,69,8,0,0,0,"",Mobile,Chrome 149.0
QNxTD5BXX08,QNxTD4YjDvA,false,Anonymous,Guest,05:45:47 PM,22/06/2026,false,05:45:47 PM,22/06/2026,"",true,true,5.26,1/19,en,[1],false,"",0,"","","","","","","","","","","","","",[],[],[],"","","",[],[],[],"","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",Desktop,Chrome 149.0
QNxgyjdIzVA,QNxgyilDq5k,false,Anonymous,Guest,06:01:19 PM,22/06/2026,false,06:01:19 PM,22/06/2026,"",true,true,21.05,4/19,en,"[1, 2, 3, 4]",false,"",3,2+ hours a week,Gym or exercise,Learning new skills,"","","","","","","","","","",[],[],[],"","","",[],[],[],"","","","","","",6,17,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",Mobile,Safari 604.1
QNx_i4u7tGc,QNx_i3z1H1U,false,Anonymous,Guest,06:33:31 PM,22/06/2026,false,06:33:31 PM,22/06/2026,"",true,true,5.26,1/19,en,[1],false,"",0,"","","","","","","","","","","","","",[],[],[],"","","",[],[],[],"","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",Desktop,Edge 149.0
QNyFxPC8_L8,QNyFxOOARp8,false,Anonymous,Guest,06:41:53 PM,22/06/2026,false,06:41:53 PM,22/06/2026,"",true,true,10.53,2/19,en,"[1, 2]",false,"",1,2+ hours a week,"","","","","","","","","","","","",[],[],[],"","","",[],[],[],"","","","","","",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",Mobile,Safari 604.1
QNzBZ2RU_zI,QNzBZ1v5OOk,false,Anonymous,Guest,07:46:26 PM,22/06/2026,false,07:46:26 PM,22/06/2026,"",true,true,5.26,1/19,en,[1],false,"",0,"","","","","","","","","","","","","",[],[],[],"","","",[],[],[],"","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",Desktop,Chrome 149.0
QNy_9np0DKc,QNy_9my5EoI,false,Anonymous,Guest,07:47:02 PM,22/06/2026,false,07:47:03 PM,22/06/2026,"",true,true,100.00,19/19,en,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19]",false,"",14,About 30–60 minutes a week,Gym or exercise,Feeling healthy or strong,5,5,5,5,5,4,3,5,"Yes, a lot",Very important,[],[],"[""Focus ||| Confidence ||| Speaking up ||| Leadership ||| Handling stress ||| Social Connections ||| Teamwork ||| Problem-solving""]",Very confident,Very easy,"",[],[],"[""make me feel included ||| help me feel more confident ||| positively influence my experience ||| help create safe environments ||| make me feel comfortable asking them for help""]","Yes, a lot",Better places to play ||| Free or low-cost activities ||| Supportive coaches,Sometimes,1994-09-01,India,Female,9,10,22,32,9,5,17,8,7,0,16,7,13,7,0,0,0,"",Desktop,Chrome 149.0
QN7u8e7ER1k,QN7u8eBr7Zc,false,Anonymous,Guest,05:57:46 AM,23/06/2026,false,05:57:46 AM,23/06/2026,"",true,true,52.63,10/19,en,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",false,"",9,2+ hours a week,Gym or exercise,Feeling healthy or strong,5,5,5,5,5,5,5,5,"Yes, a lot",Very important,[],[],"[""Social Connections ||| Handling stress ||| Focus ||| Confidence ||| Speaking up ||| Leadership ||| Teamwork ||| Problem-solving""]",Very confident,Quite easy,"",[],[],[],"","","","","","",18,21,21,28,6,6,18,10,9,0,0,0,0,0,0,0,0,"",Mobile,Chrome 149.0
QN8lPybdlxw,QN8lPx08w68,false,Anonymous,Guest,07:01:19 AM,23/06/2026,false,07:01:19 AM,23/06/2026,"",true,true,100.00,19/19,en,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19]",false,"",14,2+ hours a week,Online/virtual fitness ||| Physical education (PE) or school sport ||| Informal play with friends,Learning new skills,5,5,5,5,5,5,5,5,"Yes, a lot",Very important,[],[],"[""Speaking up ||| Leadership ||| Confidence ||| Teamwork ||| Handling stress ||| Problem-solving ||| Social Connections ||| Focus""]",Very confident,Very easy,"",[],[],"[""help create safe environments ||| make me feel included ||| help me feel more confident ||| make me feel comfortable asking them for help ||| positively influence my experience""]","Yes, a lot",Better places to play ||| Supportive coaches ||| Free or low-cost activities,Always,2001-10-01,Kenya,Female,14,15,17,31,3,13,31,13,59,0,31,4,24,10,0,0,0,"",Desktop,Edge 149.0
QN8x_SLvLsA,QN8x_RNROos,false,Anonymous,Guest,07:09:02 AM,23/06/2026,false,07:09:02 AM,23/06/2026,"",true,true,5.26,1/19,en,[1],false,"",0,"","","","","","","","","","","","","",[],[],[],"","","",[],[],[],"","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",Mobile,Chrome 131.0
QN8ysIRiuYA,QN8ysHsZotY,false,Anonymous,Guest,07:14:00 AM,23/06/2026,false,07:14:00 AM,23/06/2026,"",true,true,100.00,19/19,en,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19]",false,"",14,2+ hours a week,Gym or exercise,Having fun,5,5,5,5,5,5,5,5,"Yes, a lot",Very important,[],[],"[""Focus ||| Leadership ||| Social Connections ||| Confidence ||| Speaking up ||| Handling stress ||| Teamwork ||| Problem-solving""]",Very confident,Very easy,"",[],[],"[""help me feel more confident ||| help create safe environments ||| make me feel comfortable asking them for help ||| make me feel included ||| positively influence my experience""]",Not really,Supportive coaches ||| Feeling welcome ||| Better places to play,Always,2000-11-01,Kenya,Male,13,18,12,47,9,20,19,16,8,0,14,9,22,9,0,0,0,"",Mobile,Chrome 131.0
